time /s	I /mA	E /V
2.0300000E+00	2.8080E-03	-5.3123E-02
2.0400000E+00	4.1652E-03	-2.7439E-02
2.0500000E+00	5.3602E-03	2.1210E-04
2.0600000E+00	6.3756E-03	2.8190E-02
2.0700000E+00	7.1736E-03	5.6176E-02
2.0800000E+00	7.6900E-03	8.2828E-02
2.0900000E+00	8.0872E-03	1.0751E-01
2.1000000E+00	8.2199E-03	1.2918E-01
2.1100000E+00	8.1615E-03	1.4716E-01
2.1200000E+00	7.9030E-03	1.6117E-01
2.1300000E+00	7.3059E-03	1.7017E-01
2.1400000E+00	6.4131E-03	1.7451E-01
2.1500000E+00	5.2255E-03	1.7380E-01
2.1600000E+00	3.7728E-03	1.6783E-01
2.1700000E+00	2.2809E-03	1.5750E-01
2.1800000E+00	7.8835E-04	1.4217E-01
2.1900000E+00	-5.8129E-04	1.2353E-01
2.2000000E+00	-1.9462E-03	1.0118E-01
2.2100000E+00	-3.1205E-03	7.6541E-02
2.2200000E+00	-4.2036E-03	5.0276E-02
2.2300000E+00	-5.2389E-03	2.3249E-02
2.2400000E+00	-6.0980E-03	-3.4195E-03
2.2500000E+00	-6.7835E-03	-2.9062E-02
2.2600000E+00	-7.1788E-03	-5.2378E-02
2.2700000E+00	-7.3916E-03	-7.3025E-02
2.2800000E+00	-7.2458E-03	-9.0361E-02
2.2900000E+00	-6.9671E-03	-1.0335E-01
2.3000000E+00	-6.2814E-03	-1.1166E-01
2.3100000E+00	-5.4382E-03	-1.1502E-01
2.3200000E+00	-4.3114E-03	-1.1335E-01
2.3300000E+00	-3.0891E-03	-1.0671E-01
2.3400000E+00	-1.6007E-03	-9.5034E-02
2.3500000E+00	-1.9421E-04	-7.9029E-02
2.3600000E+00	1.2706E-03	-5.9415E-02
2.3700000E+00	2.7307E-03	-3.6105E-02
2.3800000E+00	4.0907E-03	-1.0448E-02
2.3900000E+00	5.2509E-03	1.6853E-02
2.4000000E+00	6.2741E-03	4.5184E-02
2.4100000E+00	7.0425E-03	7.2827E-02
2.4200000E+00	7.7045E-03	9.9837E-02
2.4300000E+00	8.1159E-03	1.2483E-01
2.4400000E+00	8.3535E-03	1.4684E-01
2.4500000E+00	8.3218E-03	1.6516E-01
2.4600000E+00	8.2528E-03	1.7983E-01
2.4700000E+00	7.7097E-03	1.8948E-01
2.4800000E+00	6.8281E-03	1.9418E-01
2.4900000E+00	5.5946E-03	1.9415E-01
2.5000000E+00	4.0637E-03	1.8881E-01
2.5100000E+00	2.4624E-03	1.7878E-01
2.5200000E+00	9.3224E-04	1.6420E-01
2.5300000E+00	-5.0813E-04	1.4582E-01
2.5400000E+00	-1.8132E-03	1.2386E-01
2.5500000E+00	-3.1070E-03	9.9535E-02
2.5600000E+00	-4.1443E-03	7.3542E-02
2.5700000E+00	-5.1323E-03	4.6568E-02
2.5800000E+00	-6.0495E-03	1.9564E-02
2.5900000E+00	-6.6820E-03	-6.0795E-03
